Date,Market,Code,Name,Variety,High,Mid,Low,Avg,Volume
115/01/06,一市,FV9,辣椒,進口,190.0,21,190.0,190.0,190.0
115/01/04,一市,FV0,辣椒,其他,105.0,110,302.7,65.9,24.6
115/01/04,一市,FV1,辣椒,紅小,76.0,"2,321",114.1,74.4,43.0
115/01/04,一市,FV2,辣椒,青小,47.2,422,50.0,47.4,43.6
115/01/04,一市,FV3,辣椒,雞心,220.0,4,280.0,206.7,200.0
115/01/04,一市,FV4,辣椒,朝天椒,126.3,"2,151",148.4,130.1,92.5
115/01/04,一市,FV6,辣椒,糯米椒,92.4,897,135.2,90.9,54.3
115/01/04,一市,FV9,辣椒,進口,130.0,21,130.0,130.0,130.0
115/01/04,一市,FV91,辣椒,進口,90.0,50,90.0,90.0,90.0
115/01/04,一市,FV91,辣椒,進口紅小,90.0,50,90.0,90.0,90.0
115/01/04,一市,FV92,辣椒,進口,5.0,50,5.0,5.0,5.0
115/01/04,一市,FV92,辣椒,進口青小,5.0,50,5.0,5.0,5.0
115/01/04,一市,FV94,辣椒,進口,100.0,140,100.0,100.0,100.0
115/01/04,一市,FV94,辣椒,進口朝天椒,100.0,140,100.0,100.0,100.0
115/01/03,一市,FV0,辣椒,其他,89.3,120,280.8,43.5,35.0
115/01/03,一市,FV1,辣椒,紅小,85.2,"2,123",119.4,87.8,43.0
115/01/03,一市,FV2,辣椒,青小,52.1,372,60.0,57.0,29.5
115/01/03,一市,FV3,辣椒,雞心,238.1,8,288.1,234.2,200.0
115/01/03,一市,FV4,辣椒,朝天椒,131.8,"2,489",151.5,132.3,110.9
115/01/03,一市,FV5,辣椒,青龍,60.0,18,60.0,60.0,60.0
115/01/03,一市,FV6,辣椒,糯米椒,85.8,"1,033",127.4,82.5,54.1
115/01/03,一市,FV9,辣椒,進口,130.0,21,130.0,130.0,130.0
115/01/03,一市,FV91,辣椒,進口,70.0,175,70.0,70.0,70.0
115/01/03,一市,FV91,辣椒,進口紅小,70.0,175,70.0,70.0,70.0
115/01/03,一市,FV94,辣椒,進口,105.0,105,105.0,105.0,105.0
115/01/03,一市,FV94,辣椒,進口朝天椒,105.0,105,105.0,105.0,105.0
115/01/02,一市,FV0,辣椒,其他,83.2,111,224.3,56.5,22.3
115/01/02,一市,FV1,辣椒,紅小,84.2,"1,931",120.7,84.9,45.4
115/01/02,一市,FV2,辣椒,青小,53.3,356,80.0,52.7,28.2
115/01/02,一市,FV3,辣椒,雞心,162.9,14,214.3,150.0,150.0
115/01/02,一市,FV4,辣椒,朝天椒,133.5,"2,285",160.2,132.7,109.3
115/01/02,一市,FV6,辣椒,糯米椒,79.4,959,120.5,79.6,37.4
115/01/02,一市,FV9,辣椒,進口,130.0,21,130.0,130.0,130.0
115/01/02,一市,FV91,辣椒,進口,70.0,140,70.0,70.0,70.0
115/01/02,一市,FV91,辣椒,進口紅小,70.0,140,70.0,70.0,70.0
115/01/02,一市,FV94,辣椒,進口,100.0,350,100.0,100.0,100.0
115/01/02,一市,FV94,辣椒,進口朝天椒,100.0,350,100.0,100.0,100.0
115/01/02,二市,FV0,辣椒,其他,58.0,15,190.0,25.0,25.0
115/01/02,二市,FV1,辣椒,紅小,81.6,415,143.8,77.1,33.0
115/01/02,二市,FV2,辣椒,青小,19.0,80,25.0,19.4,11.9
115/01/02,二市,FV4,辣椒,朝天椒,122.4,708,156.9,126.0,77.0
115/01/02,二市,FV6,辣椒,糯米椒,77.3,311,133.3,73.2,33.3
115/01/01,一市,FV0,辣椒,其他,63.0,193,169.7,42.9,16.6
115/01/01,一市,FV1,辣椒,紅小,82.5,"2,005",133.7,78.7,42.4
115/01/01,一市,FV2,辣椒,青小,40.0,401,75.0,38.3,10.0
115/01/01,一市,FV3,辣椒,雞心,270.0,1,270.0,270.0,270.0
115/01/01,一市,FV4,辣椒,朝天椒,127.5,"2,684",162.7,125.8,97.2
115/01/01,一市,FV5,辣椒,青龍,50.0,12,50.0,50.0,50.0
115/01/01,一市,FV6,辣椒,糯米椒,72.3,"1,345",115.3,69.4,38.1
115/01/01,一市,FV9,辣椒,進口,130.0,21,130.0,130.0,130.0
115/01/01,一市,FV91,辣椒,進口,81.8,471,88.9,80.0,80.0
115/01/01,一市,FV91,辣椒,進口紅小,81.8,471,88.9,80.0,80.0
115/01/01,二市,FV0,辣椒,其他,26.7,27,53.3,20.0,20.0
115/01/01,二市,FV1,辣椒,紅小,91.9,342,136.3,94.0,41.4
115/01/01,二市,FV2,辣椒,青小,12.7,167,25.9,9.9,8.0
115/01/01,二市,FV4,辣椒,朝天椒,116.5,"1,071",148.4,118.8,77.8
115/01/01,二市,FV6,辣椒,糯米椒,82.8,127,152.0,80.6,20.0
114/12/31,一市,FV0,辣椒,其他,75.9,181,221.6,47.2,16.3
114/12/31,一市,FV1,辣椒,紅小,86.5,"2,494",129.3,82.8,54.6
114/12/31,一市,FV2,辣椒,青小,31.4,388,35.0,32.8,23.4
114/12/31,一市,FV4,辣椒,朝天椒,131.0,"2,404",157.2,133.6,97.1
114/12/31,一市,FV6,辣椒,糯米椒,85.0,"1,352",138.3,84.6,32.9
114/12/31,一市,FV9,辣椒,進口,190.0,21,190.0,190.0,190.0
114/12/31,一市,FV94,辣椒,進口,100.4,350,102.0,100.0,100.0
114/12/31,一市,FV94,辣椒,進口朝天椒,100.4,350,102.0,100.0,100.0
114/12/30,一市,FV0,辣椒,其他,121.0,150,312.0,85.7,36.0
114/12/30,一市,FV1,辣椒,紅小,93.3,"2,395",139.8,91.1,53.3
114/12/30,一市,FV2,辣椒,青小,33.7,428,42.7,35.6,19.0
114/12/30,一市,FV3,辣椒,雞心,155.4,24,170.0,152.4,150.0
114/12/30,一市,FV4,辣椒,朝天椒,129.5,"3,040",160.5,131.7,91.7
114/12/30,一市,FV5,辣椒,青龍,40.0,18,40.0,40.0,40.0
114/12/30,一市,FV6,辣椒,糯米椒,90.5,"1,193",140.8,91.1,38.4
114/12/30,一市,FV9,辣椒,進口,190.0,42,190.0,190.0,190.0
114/12/30,一市,FV91,辣椒,進口,83.7,561,98.3,80.0,80.0
114/12/30,一市,FV91,辣椒,進口紅小,83.7,561,98.3,80.0,80.0
114/12/28,一市,FV0,辣椒,其他,52.1,100,74.0,53.2,27.0
114/12/28,一市,FV1,辣椒,紅小,90.9,"1,855",139.3,88.2,50.9
114/12/28,一市,FV2,辣椒,青小,22.6,288,30.0,24.1,11.0
114/12/28,一市,FV3,辣椒,雞心,160.0,23,160.0,160.0,160.0
114/12/28,一市,FV4,辣椒,朝天椒,133.9,"1,896",162.7,136.1,98.4
114/12/28,一市,FV6,辣椒,糯米椒,84.8,903,142.1,81.2,38.4
114/12/28,一市,FV91,辣椒,進口,86.6,490,103.6,89.7,60.0
114/12/28,一市,FV91,辣椒,進口紅小,86.6,490,103.6,89.7,60.0
114/12/28,一市,FV94,辣椒,進口,105.6,350,126.0,100.7,100.0
114/12/28,一市,FV94,辣椒,進口朝天椒,105.6,350,126.0,100.7,100.0
114/12/27,一市,FV0,辣椒,其他,103.4,141,305.7,67.3,9.3
114/12/27,一市,FV1,辣椒,紅小,90.4,"2,343",134.7,86.6,57.3
114/12/27,一市,FV2,辣椒,青小,24.0,568,30.2,25.3,14.2
114/12/27,一市,FV3,辣椒,雞心,130.0,1,130.0,130.0,130.0
114/12/27,一市,FV4,辣椒,朝天椒,138.8,"2,726",168.2,141.4,101.5
114/12/27,一市,FV6,辣椒,糯米椒,76.9,"1,161",122.6,74.8,37.6
114/12/27,一市,FV9,辣椒,進口,130.0,21,130.0,130.0,130.0
114/12/27,一市,FV91,辣椒,進口,110.2,375,110.8,110.0,110.0
114/12/27,一市,FV91,辣椒,進口紅小,110.2,375,110.8,110.0,110.0
114/12/27,一市,FV94,辣椒,進口,106.4,350,132.0,100.0,100.0
114/12/27,一市,FV94,辣椒,進口朝天椒,106.4,350,132.0,100.0,100.0
114/12/26,一市,FV0,辣椒,其他,98.0,94,300.3,55.0,24.5
114/12/26,一市,FV1,辣椒,紅小,96.4,"2,578",149.1,92.4,55.7
114/12/26,一市,FV2,辣椒,青小,29.7,645,38.4,30.6,18.3
114/12/26,一市,FV3,辣椒,雞心,180.0,3,180.0,180.0,180.0
114/12/26,一市,FV4,辣椒,朝天椒,150.6,"2,585",184.9,154.5,104.4
114/12/26,一市,FV6,辣椒,糯米椒,89.5,"1,509",136.1,92.1,35.3
114/12/26,一市,FV91,辣椒,進口,112.6,420,118.1,113.3,104.9
114/12/26,一市,FV91,辣椒,進口紅小,112.6,420,118.1,113.3,104.9
114/12/26,一市,FV94,辣椒,進口,137.7,301,150.0,136.1,130.0
114/12/26,一市,FV94,辣椒,進口朝天椒,137.7,301,150.0,136.1,130.0
114/12/26,二市,FV0,辣椒,其他,62.5,36,112.5,50.0,50.0
114/12/26,二市,FV1,辣椒,紅小,89.4,504,164.3,85.9,24.7
114/12/26,二市,FV2,辣椒,青小,25.9,141,43.0,23.4,16.3
114/12/26,二市,FV4,辣椒,朝天椒,164.7,736,199.0,166.8,124.1
114/12/26,二市,FV6,辣椒,糯米椒,88.6,361,141.6,91.3,27.6
114/12/26,二市,FV9,辣椒,進口,127.5,80,140.0,125.8,120.0
114/12/26,二市,FV91,辣椒,進口,111.8,120,115.0,111.3,110.0
114/12/26,二市,FV91,辣椒,進口紅小,111.8,120,115.0,111.3,110.0
114/12/26,二市,FV94,辣椒,進口,136.5,210,140.0,135.8,135.0
114/12/26,二市,FV94,辣椒,進口朝天椒,136.5,210,140.0,135.8,135.0
